budget,RT_aud_score,RT_crit_score,RT_runtime,Metascore,imdbRating,imdbVotes,dom_gross
300000000,72,44,169,50,7.1,339173,309420425
260000000,87,89,100,71,7.9,170907,200821936
258000000,51,63,139,59,6.3,257854,336530303
250000000,83,65,170,58,8.1,427244,303003568
250000000,77,84,154,78,7.4,227252,301959197
250000000,85,75,161,66,8.2,206398,254710178
250000000,55,33,137,45,6.7,254473,241063875
232000000,62,76,154,72,6.2,204129,200120000
230000000,59,64,105,58,6.7,237255,169368427
225000000,76,56,143,55,7.4,349748,291045518
225000000,73,67,144,62,6.6,108776,141621490
220000000,77,73,136,66,7.2,289117,262030663
215000000,71,70,105,58,6.9,186234,179020854
210000000,63,57,87,58,6.8,258720,234362462
210000000,58,43,148,53,6.7,164698,105487148
207000000,49,84,187,81,7.3,251012,218080025
200000000,86,92,145,81,7.8,370288,304360277
200000000,57,59,127,44,6.5,132834,234770996
200000000,51,39,112,57,6.4,67180,191450875
200000000,64,51,125,49,6.9,206335,172062763
200000000,47,39,158,49,5.8,208207,166112167
200000000,55,33,115,52,6.7,217299,125322469
200000000,46,26,113,39,5.8,166848,116601172
200000000,58,36,116,50,6.6,164789,90759676
190000000,90,87,131,72,7.9,264551,228778661
190000000,73,67,115,63,7.1,262786,202359711
190000000,68,49,142,55,7.4,213204,144840419
190000000,58,54,96,55,6.8,51090,137855863
190000000,78,71,131,64,7.2,216288,101802906
185000000,76,78,93,69,7.2,161238,237282182
180000000,89,96,97,94,8.5,468448,223808164
180000000,63,18,90,44,6.1,91166,140125968
180000000,78,94,126,83,7.6,186970,73864507
175000000,59,72,94,56,6.6,83620,198351526
175000000,50,35,118,32,5.8,139933,150201498
175000000,28,20,107,38,4.7,107369,113805681
175000000,30,13,112,31,5.2,87732,102491776
175000000,53,23,96,37,5.4,92873,100289690
175000000,43,43,135,56,6,111855,88246220
170000000,81,65,112,54,7.4,170174,204674790
170000000,63,56,100,61,6.6,85420,194949659
170000000,52,48,128,57,6.2,169370,155136755
170000000,47,70,109,66,6.4,224427,150358296
165000000,54,58,93,58,6.4,97624,238736787
165000000,91,98,98,74,8.2,277665,217581231
165000000,86,86,92,72,7.8,163260,189412677
163000000,44,44,119,50,6.1,134915,100240551
160000000,84,69,130,61,7.2,189780,238679850
160000000,87,87,132,65,7.8,335510,146408305
160000000,80,72,166,70,7.8,333628,127509326
155000000,59,49,113,53,6.4,73076,104386950
150000000,60,41,92,49,6.5,229109,227946274
150000000,51,82,130,72,6.8,229004,206459076
150000000,87,96,110,96,8,337299,206445654
150000000,94,85,140,70,8.3,647810,205343774
150000000,76,77,115,57,7,330613,181030624
150000000,66,64,89,61,6.8,94955,180010950
150000000,60,38,107,40,6.8,223794,179883157
150000000,47,44,105,42,5.9,83512,177243721
150000000,74,81,88,67,7.4,116459,165249063
150000000,68,70,127,66,6.8,182733,133501348
150000000,58,37,139,48,6.7,154182,133375846
150000000,74,54,165,56,7.2,271461,133298577
150000000,31,6,103,20,4.4,89300,131772187
150000000,53,51,90,54,6.2,80178,126631277
150000000,40,22,90,41,5.1,26324,119436770
150000000,74,88,96,67,7,106670,114053759
150000000,49,25,99,37,5.8,115446,83670083
150000000,63,50,137,52,6.4,84167,73103784
150000000,33,34,103,43,5.8,77334,62189884
149000000,65,72,84,74,6.7,63430,64665672
145000000,73,79,93,60,7,78644,216391482
145000000,76,93,132,73,7.4,262373,209397903
145000000,73,88,88,79,7.2,85609,171091819
145000000,81,74,97,57,7.3,78100,103412758
145000000,55,39,124,41,6,63328,68671925
142000000,42,57,133,56,6.1,131453,160942139
140000000,46,39,88,49,6,184376,190418803
140000000,73,79,124,66,6.8,271834,176654505
140000000,65,52,127,37,6.6,103615,130444603
140000000,49,28,90,41,5.9,100921,122523060
140000000,83,65,154,55,7.7,238846,111110575
140000000,50,29,90,47,6.1,88516,110550000
